mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
5.422847,	0.657817,	0.780900,	-0.737960,	-0.013970,	77.520833,	2.500000
211.261388,	2.714055,	0.780900,	-0.387960,	-0.133970,	45.835417,	2.000000
180.894619,	2.574508,	0.780900,	-0.387960,	-0.121970,	46.995833,	2.000000
157.125246,	2.466978,	0.780900,	-0.387960,	-0.109970,	48.443750,	2.000000
132.570802,	2.319473,	0.780900,	-0.387960,	-0.097970,	49.891667,	2.000000
110.093049,	2.203529,	0.780900,	-0.387960,	-0.085970,	52.268750,	2.000000
90.157365,	2.049801,	0.780900,	-0.387960,	-0.073970,	53.929167,	2.000000
66.618903,	1.856949,	0.780900,	-0.387960,	-0.061970,	56.791667,	2.000000
40.449715,	1.640095,	0.780900,	-0.387960,	-0.049970,	60.637500,	2.000000
22.922245,	1.378261,	0.780900,	-0.387960,	-0.037970,	64.747917,	2.000000
8.639454,	1.066710,	0.780900,	-0.387960,	-0.025970,	71.375000,	2.000000
1.394313,	0.630498,	0.780900,	-0.387960,	-0.013970,	75.725000,	2.500000
2.585383,	1.115243,	0.780900,	-0.037960,	-0.133970,	64.589583,	2.000000
1.782041,	1.093711,	0.780900,	-0.037960,	-0.121970,	65.360417,	2.000000
-1.230269,	1.033052,	0.780900,	-0.037960,	-0.109970,	66.406250,	2.000000
-2.746462,	0.980545,	0.780900,	-0.037960,	-0.097970,	67.487500,	2.000000
-4.133718,	0.926837,	0.780900,	-0.037960,	-0.085970,	68.625000,	2.000000
-7.594485,	0.842594,	0.780900,	-0.037960,	-0.073970,	69.677083,	2.000000
-6.422886,	0.810146,	0.780900,	-0.037960,	-0.061970,	71.314583,	2.000000
-6.651011,	0.735827,	0.780900,	-0.037960,	-0.049970,	72.652083,	2.000000
-5.106127,	0.669177,	0.780900,	-0.037960,	-0.037970,	74.685417,	2.000000
-4.590585,	0.575971,	0.780900,	-0.037960,	-0.025970,	77.400000,	2.000000
-3.393512,	0.445133,	0.780900,	-0.037960,	-0.013970,	75.995833,	2.500000
658.089098,	7.145082,	1.280900,	-3.537960,	-0.133970,	49.829167,	1.500000
552.065708,	6.520127,	1.280900,	-3.537960,	-0.121970,	42.129167,	2.000000
459.873819,	6.001397,	1.280900,	-3.537960,	-0.109970,	45.462500,	2.000000
365.568029,	5.458387,	1.280900,	-3.537960,	-0.097970,	49.633333,	2.000000
284.243072,	4.756054,	1.280900,	-3.537960,	-0.085970,	53.254167,	2.000000
217.824095,	4.224768,	1.280900,	-3.537960,	-0.073970,	57.402083,	2.000000
146.577405,	3.385241,	1.280900,	-3.537960,	-0.061970,	61.106250,	2.000000
98.462091,	2.766178,	1.280900,	-3.537960,	-0.049970,	66.245833,	2.000000
49.419918,	2.003330,	1.280900,	-3.537960,	-0.037970,	71.208333,	2.000000
29.855677,	1.511363,	1.280900,	-3.537960,	-0.025970,	76.645833,	2.000000
10.568678,	0.849694,	1.280900,	-3.537960,	-0.013970,	76.060417,	3.000000
695.275108,	7.158466,	1.280900,	-3.187960,	-0.133970,	49.595833,	1.500000
602.352297,	6.740416,	1.280900,	-3.187960,	-0.121970,	51.987500,	1.500000
489.750215,	6.174901,	1.280900,	-3.187960,	-0.109970,	44.066667,	2.000000
394.202682,	5.427037,	1.280900,	-3.187960,	-0.097970,	47.962500,	2.000000
320.409342,	5.053044,	1.280900,	-3.187960,	-0.085970,	52.189583,	2.000000
231.557195,	4.285873,	1.280900,	-3.187960,	-0.073970,	56.906250,	2.000000
159.500003,	3.531235,	1.280900,	-3.187960,	-0.061970,	60.256250,	2.000000
101.989634,	2.802181,	1.280900,	-3.187960,	-0.049970,	65.431250,	2.000000
56.922587,	2.037111,	1.280900,	-3.187960,	-0.037970,	70.841667,	2.000000
29.739162,	1.462323,	1.280900,	-3.187960,	-0.025970,	75.966667,	2.000000
14.529697,	0.996226,	1.280900,	-3.187960,	-0.013970,	79.612500,	2.500000
736.696651,	7.152620,	1.280900,	-2.837960,	-0.133970,	47.341667,	1.500000
624.362944,	6.667822,	1.280900,	-2.837960,	-0.121970,	40.227083,	2.000000
528.951494,	6.201927,	1.280900,	-2.837960,	-0.109970,	43.318750,	2.000000
451.636861,	5.853897,	1.280900,	-2.837960,	-0.097970,	46.235417,	2.000000
347.472964,	5.140831,	1.280900,	-2.837960,	-0.085970,	52.089583,	2.000000
270.516762,	4.530415,	1.280900,	-2.837960,	-0.073970,	54.260417,	2.000000
174.795871,	3.570550,	1.280900,	-2.837960,	-0.061970,	59.354167,	2.000000
113.463400,	2.960815,	1.280900,	-2.837960,	-0.049970,	65.120833,	2.000000
65.461166,	2.172587,	1.280900,	-2.837960,	-0.037970,	70.204167,	2.000000
33.976523,	1.542800,	1.280900,	-2.837960,	-0.025970,	76.081250,	2.000000
12.476259,	0.900935,	1.280900,	-2.837960,	-0.013970,	79.633333,	2.500000
799.325613,	7.147711,	1.280900,	-2.487960,	-0.133970,	46.512500,	1.500000
712.805533,	6.768449,	1.280900,	-2.487960,	-0.121970,	39.479167,	2.000000
577.490089,	6.342353,	1.280900,	-2.487960,	-0.109970,	41.395833,	2.000000
482.746342,	5.799121,	1.280900,	-2.487960,	-0.097970,	44.818750,	2.000000
373.518166,	5.142713,	1.280900,	-2.487960,	-0.085970,	48.429167,	2.000000
285.524868,	4.557692,	1.280900,	-2.487960,	-0.073970,	53.760417,	2.000000
198.167443,	3.855469,	1.280900,	-2.487960,	-0.061970,	59.241667,	2.000000
123.070046,	3.060267,	1.280900,	-2.487960,	-0.049970,	63.970833,	2.000000
74.330547,	2.288209,	1.280900,	-2.487960,	-0.037970,	69.541667,	2.000000
33.814141,	1.529058,	1.280900,	-2.487960,	-0.025970,	75.633333,	2.000000
12.129021,	0.879588,	1.280900,	-2.487960,	-0.013970,	79.539583,	2.500000
818.185852,	6.903686,	1.280900,	-2.137960,	-0.133970,	45.166667,	1.500000
719.980156,	6.576135,	1.280900,	-2.137960,	-0.121970,	47.556250,	1.500000
628.259055,	6.251667,	1.280900,	-2.137960,	-0.109970,	39.591667,	2.000000
515.865879,	5.811385,	1.280900,	-2.137960,	-0.097970,	42.504167,	2.000000
412.535820,	5.251128,	1.280900,	-2.137960,	-0.085970,	46.522917,	2.000000
312.083374,	4.614887,	1.280900,	-2.137960,	-0.073970,	52.137500,	2.000000
214.785152,	3.828165,	1.280900,	-2.137960,	-0.061970,	56.739583,	2.000000
148.629437,	3.184173,	1.280900,	-2.137960,	-0.049970,	61.881250,	2.000000
84.227238,	2.350253,	1.280900,	-2.137960,	-0.037970,	68.568750,	2.000000
43.865453,	1.729179,	1.280900,	-2.137960,	-0.025970,	75.364583,	2.000000
15.400581,	0.948445,	1.280900,	-2.137960,	-0.013970,	78.985417,	2.500000
823.691763,	6.533755,	1.280900,	-1.787960,	-0.133970,	44.004167,	1.500000
732.563544,	6.307807,	1.280900,	-1.787960,	-0.121970,	45.650000,	1.500000
629.316992,	5.962223,	1.280900,	-1.787960,	-0.109970,	47.900000,	1.500000
551.209210,	5.638476,	1.280900,	-1.787960,	-0.097970,	40.708333,	2.000000
437.740633,	5.210582,	1.280900,	-1.787960,	-0.085970,	45.208333,	2.000000
343.789949,	4.627092,	1.280900,	-1.787960,	-0.073970,	49.310417,	2.000000
246.788775,	3.969861,	1.280900,	-1.787960,	-0.061970,	54.227083,	2.000000
157.414535,	3.218005,	1.280900,	-1.787960,	-0.049970,	60.393750,	2.000000
95.969470,	2.538676,	1.280900,	-1.787960,	-0.037970,	67.235417,	2.000000
41.032228,	1.574896,	1.280900,	-1.787960,	-0.025970,	74.133333,	2.000000
14.542889,	0.898789,	1.280900,	-1.787960,	-0.013970,	78.445833,	2.500000
787.712131,	6.027178,	1.280900,	-1.437960,	-0.133970,	43.810417,	1.500000
702.253643,	5.819539,	1.280900,	-1.437960,	-0.121970,	45.668750,	1.500000
635.257520,	5.641575,	1.280900,	-1.437960,	-0.109970,	49.277083,	1.500000
556.877499,	5.412441,	1.280900,	-1.437960,	-0.097970,	40.052083,	2.000000
462.754660,	5.018806,	1.280900,	-1.437960,	-0.085970,	42.614583,	2.000000
372.816790,	4.585941,	1.280900,	-1.437960,	-0.073970,	47.247917,	2.000000
268.181670,	3.952929,	1.280900,	-1.437960,	-0.061970,	51.850000,	2.000000
174.041958,	3.286200,	1.280900,	-1.437960,	-0.049970,	58.758333,	2.000000
106.105208,	2.527448,	1.280900,	-1.437960,	-0.037970,	65.206250,	2.000000
48.694951,	1.691628,	1.280900,	-1.437960,	-0.025970,	72.587500,	2.000000
14.931051,	0.902849,	1.280900,	-1.437960,	-0.013970,	77.839583,	2.500000
701.045735,	5.317971,	1.280900,	-1.087960,	-0.133970,	45.685417,	1.500000
630.662962,	5.121347,	1.280900,	-1.087960,	-0.121970,	46.097917,	1.500000
588.955709,	5.057710,	1.280900,	-1.087960,	-0.109970,	48.072917,	1.500000
521.345276,	4.846144,	1.280900,	-1.087960,	-0.097970,	50.708333,	1.500000
433.791755,	4.565595,	1.280900,	-1.087960,	-0.085970,	41.966667,	2.000000
369.481225,	4.282354,	1.280900,	-1.087960,	-0.073970,	44.450000,	2.000000
274.644156,	3.800086,	1.280900,	-1.087960,	-0.061970,	48.810417,	2.000000
198.001845,	3.296273,	1.280900,	-1.087960,	-0.049970,	55.112500,	2.000000
115.144616,	2.561826,	1.280900,	-1.087960,	-0.037970,	62.656250,	2.000000
55.859507,	1.751646,	1.280900,	-1.087960,	-0.025970,	70.562500,	2.000000
19.424390,	0.989324,	1.280900,	-1.087960,	-0.013970,	76.387500,	2.500000
513.419379,	4.318010,	1.280900,	-0.737960,	-0.133970,	47.750000,	1.500000
487.834355,	4.252402,	1.280900,	-0.737960,	-0.121970,	49.068750,	1.500000
442.397544,	4.138854,	1.280900,	-0.737960,	-0.109970,	50.175000,	1.500000
407.585167,	3.988808,	1.280900,	-0.737960,	-0.097970,	40.160417,	2.000000
362.694385,	3.836769,	1.280900,	-0.737960,	-0.085970,	41.937500,	2.000000
296.477674,	3.552726,	1.280900,	-0.737960,	-0.073970,	44.835417,	2.000000
236.879866,	3.287793,	1.280900,	-0.737960,	-0.061970,	47.450000,	2.000000
188.420894,	3.012921,	1.280900,	-0.737960,	-0.049970,	52.931250,	2.000000
121.867658,	2.489156,	1.280900,	-0.737960,	-0.037970,	58.531250,	2.000000
59.492676,	1.823550,	1.280900,	-0.737960,	-0.025970,	67.812500,	2.000000
18.316167,	0.993189,	1.280900,	-0.737960,	-0.013970,	79.231250,	2.000000
275.211782,	3.027414,	1.280900,	-0.387960,	-0.133970,	42.335417,	2.000000
259.881965,	3.008194,	1.280900,	-0.387960,	-0.121970,	43.631250,	2.000000
234.264301,	2.886634,	1.280900,	-0.387960,	-0.109970,	44.477083,	2.000000
210.028865,	2.753635,	1.280900,	-0.387960,	-0.097970,	45.877083,	2.000000
188.234410,	2.663376,	1.280900,	-0.387960,	-0.085970,	47.562500,	2.000000
158.836221,	2.526356,	1.280900,	-0.387960,	-0.073970,	49.412500,	2.000000
135.078969,	2.383865,	1.280900,	-0.387960,	-0.061970,	50.891667,	2.000000
105.893565,	2.180511,	1.280900,	-0.387960,	-0.049970,	53.418750,	2.000000
75.286041,	1.970101,	1.280900,	-0.387960,	-0.037970,	57.045833,	2.000000
41.754348,	1.636263,	1.280900,	-0.387960,	-0.025970,	63.425000,	2.000000
12.227532,	0.981809,	1.280900,	-0.387960,	-0.013970,	75.570833,	2.000000
-1.387333,	1.018964,	1.280900,	-0.037960,	-0.133970,	67.481250,	2.000000
-2.894510,	0.974826,	1.280900,	-0.037960,	-0.121970,	68.120833,	2.000000
-3.254368,	0.945269,	1.280900,	-0.037960,	-0.109970,	68.556250,	2.000000
-5.019478,	0.911462,	1.280900,	-0.037960,	-0.097970,	69.639583,	2.000000
-3.638875,	0.898420,	1.280900,	-0.037960,	-0.085970,	70.439583,	2.000000
-6.188950,	0.842146,	1.280900,	-0.037960,	-0.073970,	70.789583,	2.000000
-5.702065,	0.795436,	1.280900,	-0.037960,	-0.061970,	71.975000,	2.000000
-6.065696,	0.734338,	1.280900,	-0.037960,	-0.049970,	73.591667,	2.000000
-4.667051,	0.673854,	1.280900,	-0.037960,	-0.037970,	74.293750,	2.000000
-4.220279,	0.601972,	1.280900,	-0.037960,	-0.025970,	76.425000,	2.000000
-2.788602,	0.515654,	1.280900,	-0.037960,	-0.013970,	79.629167,	2.000000
1268.656385,	10.270587,	1.780900,	-3.537960,	-0.133970,	39.943750,	1.500000
1143.637246,	9.887045,	1.780900,	-3.537960,	-0.121970,	42.922917,	1.500000
957.001204,	9.281888,	1.780900,	-3.537960,	-0.109970,	47.531250,	1.500000
784.097863,	8.504517,	1.780900,	-3.537960,	-0.097970,	51.543750,	1.500000
585.231020,	7.355975,	1.780900,	-3.537960,	-0.085970,	45.502083,	2.000000
452.229023,	6.638397,	1.780900,	-3.537960,	-0.073970,	52.397917,	2.000000
313.078941,	5.423011,	1.780900,	-3.537960,	-0.061970,	55.587500,	2.000000
197.939771,	4.209195,	1.780900,	-3.537960,	-0.049970,	62.702083,	2.000000
111.582131,	2.998620,	1.780900,	-3.537960,	-0.037970,	68.997917,	2.000000
50.712212,	1.990796,	1.780900,	-3.537960,	-0.025970,	74.993750,	2.000000
22.242894,	1.294670,	1.780900,	-3.537960,	-0.013970,	78.904167,	2.500000
1344.382057,	10.046753,	1.780900,	-3.187960,	-0.133970,	53.472917,	1.000000
1199.154457,	9.750483,	1.780900,	-3.187960,	-0.121970,	40.829167,	1.500000
1014.733697,	9.215721,	1.780900,	-3.187960,	-0.109970,	45.739583,	1.500000
849.817751,	8.582131,	1.780900,	-3.187960,	-0.097970,	48.658333,	1.500000
702.489169,	7.992302,	1.780900,	-3.187960,	-0.085970,	43.545833,	2.000000
507.529499,	6.801585,	1.780900,	-3.187960,	-0.073970,	48.327083,	2.000000
362.816054,	5.793668,	1.780900,	-3.187960,	-0.061970,	54.222917,	2.000000
220.586661,	4.395471,	1.780900,	-3.187960,	-0.049970,	60.541667,	2.000000
129.093437,	3.346525,	1.780900,	-3.187960,	-0.037970,	68.193750,	2.000000
58.045689,	2.037620,	1.780900,	-3.187960,	-0.025970,	74.885417,	2.000000
19.567241,	1.144979,	1.780900,	-3.187960,	-0.013970,	78.745833,	2.500000
1368.876684,	9.654418,	1.780900,	-2.837960,	-0.133970,	51.177083,	1.000000
1234.849966,	9.430247,	1.780900,	-2.837960,	-0.121970,	40.404167,	1.500000
1080.004684,	8.997217,	1.780900,	-2.837960,	-0.109970,	43.908333,	1.500000
936.626310,	8.531744,	1.780900,	-2.837960,	-0.097970,	44.989583,	1.500000
730.695093,	7.844273,	1.780900,	-2.837960,	-0.085970,	40.504167,	2.000000
569.003634,	7.004619,	1.780900,	-2.837960,	-0.073970,	45.802083,	2.000000
378.889883,	5.662135,	1.780900,	-2.837960,	-0.061970,	53.889583,	2.000000
253.043009,	4.668124,	1.780900,	-2.837960,	-0.049970,	60.243750,	2.000000
140.275466,	3.325158,	1.780900,	-2.837960,	-0.037970,	67.025000,	2.000000
64.783312,	2.194097,	1.780900,	-2.837960,	-0.025970,	73.862500,	2.000000
23.837559,	1.218563,	1.780900,	-2.837960,	-0.013970,	78.260417,	2.500000
1376.247829,	9.124725,	1.780900,	-2.487960,	-0.133970,	51.233333,	1.000000
1265.642881,	9.045758,	1.780900,	-2.487960,	-0.121970,	54.195833,	1.000000
1139.802753,	8.748238,	1.780900,	-2.487960,	-0.109970,	41.097917,	1.500000
941.637011,	8.297812,	1.780900,	-2.487960,	-0.097970,	43.706250,	1.500000
797.179875,	7.815630,	1.780900,	-2.487960,	-0.085970,	50.606250,	1.500000
604.549907,	6.893606,	1.780900,	-2.487960,	-0.073970,	44.072917,	2.000000
447.182512,	6.128715,	1.780900,	-2.487960,	-0.061970,	50.316667,	2.000000
311.777458,	5.130864,	1.780900,	-2.487960,	-0.049970,	57.675000,	2.000000
165.513842,	3.570419,	1.780900,	-2.487960,	-0.037970,	65.197917,	2.000000
72.793778,	2.276118,	1.780900,	-2.487960,	-0.025970,	72.937500,	2.000000
23.691890,	1.172709,	1.780900,	-2.487960,	-0.013970,	78.043750,	2.500000
1334.988286,	8.528060,	1.780900,	-2.137960,	-0.133970,	51.218750,	1.000000
1247.309966,	8.493564,	1.780900,	-2.137960,	-0.121970,	52.412500,	1.000000
1155.759980,	8.298472,	1.780900,	-2.137960,	-0.109970,	55.645833,	1.000000
998.761122,	7.985583,	1.780900,	-2.137960,	-0.097970,	43.247917,	1.500000
851.769398,	7.615610,	1.780900,	-2.137960,	-0.085970,	47.179167,	1.500000
682.454818,	7.007652,	1.780900,	-2.137960,	-0.073970,	40.287500,	2.000000
494.298293,	6.109339,	1.780900,	-2.137960,	-0.061970,	48.660417,	2.000000
341.556855,	5.193233,	1.780900,	-2.137960,	-0.049970,	56.110417,	2.000000
190.491429,	3.730106,	1.780900,	-2.137960,	-0.037970,	63.372917,	2.000000
82.554207,	2.367235,	1.780900,	-2.137960,	-0.025970,	71.583333,	2.000000
28.222655,	1.252009,	1.780900,	-2.137960,	-0.013970,	77.614583,	2.500000
1278.710244,	7.907974,	1.780900,	-1.787960,	-0.133970,	52.006250,	1.000000
1209.651856,	7.834218,	1.780900,	-1.787960,	-0.121970,	53.416667,	1.000000
1110.521194,	7.735005,	1.780900,	-1.787960,	-0.109970,	55.268750,	1.000000
997.642936,	7.516053,	1.780900,	-1.787960,	-0.097970,	40.885417,	1.500000
890.396112,	7.282097,	1.780900,	-1.787960,	-0.085970,	45.945833,	1.500000
698.626120,	6.666145,	1.780900,	-1.787960,	-0.073970,	40.297917,	2.000000
554.458405,	6.154091,	1.780900,	-1.787960,	-0.061970,	44.389583,	2.000000
392.254801,	5.244838,	1.780900,	-1.787960,	-0.049970,	51.647917,	2.000000
241.077215,	4.132794,	1.780900,	-1.787960,	-0.037970,	61.710417,	2.000000
98.362692,	2.503964,	1.780900,	-1.787960,	-0.025970,	70.787500,	2.000000
29.884062,	1.288763,	1.780900,	-1.787960,	-0.013970,	77.102083,	2.500000
1140.619385,	7.009170,	1.780900,	-1.437960,	-0.133970,	53.766667,	1.000000
1110.071368,	7.045804,	1.780900,	-1.437960,	-0.121970,	55.422917,	1.000000
1002.232819,	6.814868,	1.780900,	-1.437960,	-0.109970,	56.233333,	1.000000
936.621554,	6.780339,	1.780900,	-1.437960,	-0.097970,	42.020833,	1.500000
837.207007,	6.576895,	1.780900,	-1.437960,	-0.085970,	43.558333,	1.500000
711.468276,	6.260603,	1.780900,	-1.437960,	-0.073970,	47.818750,	1.500000
595.045627,	5.891550,	1.780900,	-1.437960,	-0.061970,	41.866667,	2.000000
426.323785,	5.150942,	1.780900,	-1.437960,	-0.049970,	48.145833,	2.000000
262.929248,	4.135110,	1.780900,	-1.437960,	-0.037970,	58.177083,	2.000000
125.667193,	2.898620,	1.780900,	-1.437960,	-0.025970,	68.993750,	2.000000
32.974555,	1.317755,	1.780900,	-1.437960,	-0.013970,	79.645833,	2.000000
967.362283,	6.118220,	1.780900,	-1.087960,	-0.133970,	56.041667,	1.000000
910.701540,	6.011285,	1.780900,	-1.087960,	-0.121970,	40.758333,	1.500000
857.052617,	5.943926,	1.780900,	-1.087960,	-0.109970,	41.772917,	1.500000
801.866323,	5.816130,	1.780900,	-1.087960,	-0.097970,	43.314583,	1.500000
711.642976,	5.641494,	1.780900,	-1.087960,	-0.085970,	45.679167,	1.500000
643.908903,	5.461312,	1.780900,	-1.087960,	-0.073970,	47.018750,	1.500000
558.626890,	5.261892,	1.780900,	-1.087960,	-0.061970,	39.493750,	2.000000
423.966253,	4.694008,	1.780900,	-1.087960,	-0.049970,	44.295833,	2.000000
300.606575,	4.086099,	1.780900,	-1.087960,	-0.037970,	53.677083,	2.000000
146.979543,	2.918031,	1.780900,	-1.087960,	-0.025970,	63.600000,	2.000000
38.730326,	1.417895,	1.780900,	-1.087960,	-0.013970,	78.637500,	2.000000
671.588892,	4.797228,	1.780900,	-0.737960,	-0.133970,	44.664583,	1.500000
648.897253,	4.779381,	1.780900,	-0.737960,	-0.121970,	45.347917,	1.500000
602.815909,	4.642485,	1.780900,	-0.737960,	-0.109970,	46.266667,	1.500000
569.055090,	4.591662,	1.780900,	-0.737960,	-0.097970,	46.722917,	1.500000
530.692697,	4.512763,	1.780900,	-0.737960,	-0.085970,	48.639583,	1.500000
489.595419,	4.438154,	1.780900,	-0.737960,	-0.073970,	50.700000,	1.500000
429.691159,	4.251348,	1.780900,	-0.737960,	-0.061970,	40.414583,	2.000000
364.867060,	3.973257,	1.780900,	-0.737960,	-0.049970,	44.006250,	2.000000
260.161850,	3.486490,	1.780900,	-0.737960,	-0.037970,	48.443750,	2.000000
174.559606,	2.981843,	1.780900,	-0.737960,	-0.025970,	58.281250,	2.000000
42.582290,	1.511471,	1.780900,	-0.737960,	-0.013970,	75.160417,	2.000000
335.881512,	3.294565,	1.780900,	-0.387960,	-0.133970,	40.770833,	2.000000
313.988320,	3.232462,	1.780900,	-0.387960,	-0.121970,	41.525000,	2.000000
292.756419,	3.099808,	1.780900,	-0.387960,	-0.109970,	42.112500,	2.000000
269.308997,	3.070940,	1.780900,	-0.387960,	-0.097970,	43.233333,	2.000000
248.197724,	2.944698,	1.780900,	-0.387960,	-0.085970,	44.441667,	2.000000
221.165887,	2.841292,	1.780900,	-0.387960,	-0.073970,	45.658333,	2.000000
200.841028,	2.772532,	1.780900,	-0.387960,	-0.061970,	47.104167,	2.000000
169.832701,	2.584880,	1.780900,	-0.387960,	-0.049970,	48.941667,	2.000000
143.111294,	2.455882,	1.780900,	-0.387960,	-0.037970,	51.941667,	2.000000
96.586710,	2.154418,	1.780900,	-0.387960,	-0.025970,	55.989583,	2.000000
42.692914,	1.525076,	1.780900,	-0.387960,	-0.013970,	67.733333,	2.000000
-3.298258,	0.958342,	1.780900,	-0.037960,	-0.133970,	68.947917,	2.000000
-4.960520,	0.902568,	1.780900,	-0.037960,	-0.121970,	69.760417,	2.000000
-5.351739,	0.892984,	1.780900,	-0.037960,	-0.109970,	69.720833,	2.000000
-5.400464,	0.855225,	1.780900,	-0.037960,	-0.097970,	70.281250,	2.000000
-6.387167,	0.809913,	1.780900,	-0.037960,	-0.085970,	70.981250,	2.000000
-5.538070,	0.810913,	1.780900,	-0.037960,	-0.073970,	71.650000,	2.000000
-6.523704,	0.774472,	1.780900,	-0.037960,	-0.061970,	72.431250,	2.000000
-6.218045,	0.710367,	1.780900,	-0.037960,	-0.049970,	73.360417,	2.000000
-6.608403,	0.662509,	1.780900,	-0.037960,	-0.037970,	74.383333,	2.000000
-4.983900,	0.608417,	1.780900,	-0.037960,	-0.025970,	76.739583,	2.000000
-3.770684,	0.531119,	1.780900,	-0.037960,	-0.013970,	78.935417,	2.000000
2055.835574,	12.388696,	2.280900,	-3.537960,	-0.133970,	45.279167,	1.000000
1872.446261,	12.266590,	2.280900,	-3.537960,	-0.121970,	47.654167,	1.000000
1726.240785,	12.032867,	2.280900,	-3.537960,	-0.109970,	51.168750,	1.000000
1438.919164,	11.533962,	2.280900,	-3.537960,	-0.097970,	51.452083,	1.000000
1220.278698,	10.985625,	2.280900,	-3.537960,	-0.085970,	44.316667,	1.500000
927.260175,	9.828165,	2.280900,	-3.537960,	-0.073970,	42.872917,	2.000000
639.468516,	8.304981,	2.280900,	-3.537960,	-0.061970,	49.820833,	2.000000
408.846956,	6.673983,	2.280900,	-3.537960,	-0.049970,	54.760417,	2.000000
229.206441,	4.895301,	2.280900,	-3.537960,	-0.037970,	63.000000,	2.000000
92.819633,	2.788777,	2.280900,	-3.537960,	-0.025970,	73.762500,	2.000000
34.740002,	1.555044,	2.280900,	-3.537960,	-0.013970,	78.389583,	2.500000
2106.307616,	11.802696,	2.280900,	-3.187960,	-0.133970,	43.045833,	1.000000
1886.082629,	11.712649,	2.280900,	-3.187960,	-0.121970,	46.239583,	1.000000
1762.595743,	11.552727,	2.280900,	-3.187960,	-0.109970,	48.941667,	1.000000
1525.186398,	11.187501,	2.280900,	-3.187960,	-0.097970,	51.389583,	1.000000
1263.190790,	10.578155,	2.280900,	-3.187960,	-0.085970,	41.735417,	1.500000
1020.509458,	9.868520,	2.280900,	-3.187960,	-0.073970,	48.625000,	1.500000
727.594536,	8.621632,	2.280900,	-3.187960,	-0.061970,	45.552083,	2.000000
472.914944,	7.015858,	2.280900,	-3.187960,	-0.049970,	56.377083,	2.000000
248.517091,	4.933894,	2.280900,	-3.187960,	-0.037970,	64.233333,	2.000000
103.349263,	2.908090,	2.280900,	-3.187960,	-0.025970,	73.222917,	2.000000
32.896330,	1.508105,	2.280900,	-3.187960,	-0.013970,	78.177083,	2.500000
2059.219668,	10.966973,	2.280900,	-2.837960,	-0.133970,	42.918750,	1.000000
1942.208070,	10.946733,	2.280900,	-2.837960,	-0.121970,	45.302083,	1.000000
1745.257806,	10.919016,	2.280900,	-2.837960,	-0.109970,	47.862500,	1.000000
1579.147726,	10.684165,	2.280900,	-2.837960,	-0.097970,	48.950000,	1.000000
1377.761303,	10.568827,	2.280900,	-2.837960,	-0.085970,	39.243750,	1.500000
1119.977522,	9.940527,	2.280900,	-2.837960,	-0.073970,	44.081250,	1.500000
796.854098,	8.695539,	2.280900,	-2.837960,	-0.061970,	44.493750,	2.000000
573.396377,	7.409633,	2.280900,	-2.837960,	-0.049970,	52.110417,	2.000000
302.453366,	5.414869,	2.280900,	-2.837960,	-0.037970,	61.564583,	2.000000
117.251946,	3.088042,	2.280900,	-2.837960,	-0.025970,	69.885417,	2.000000
38.623819,	1.577062,	2.280900,	-2.837960,	-0.013970,	77.472917,	2.500000
1924.576969,	10.269333,	2.280900,	-2.487960,	-0.133970,	44.629167,	1.000000
1852.466556,	10.181214,	2.280900,	-2.487960,	-0.121970,	46.527083,	1.000000
1776.737096,	10.340811,	2.280900,	-2.487960,	-0.109970,	48.139583,	1.000000
1542.500174,	10.006212,	2.280900,	-2.487960,	-0.097970,	49.527083,	1.000000
1371.999026,	9.818054,	2.280900,	-2.487960,	-0.085970,	52.531250,	1.000000
1198.375402,	9.556561,	2.280900,	-2.487960,	-0.073970,	43.833333,	1.500000
894.671087,	8.736682,	2.280900,	-2.487960,	-0.061970,	42.337500,	2.000000
643.322450,	7.648862,	2.280900,	-2.487960,	-0.049970,	50.270833,	2.000000
346.586737,	5.571201,	2.280900,	-2.487960,	-0.037970,	59.772917,	2.000000
147.807649,	3.488691,	2.280900,	-2.487960,	-0.025970,	69.052083,	2.000000
43.204594,	1.665768,	2.280900,	-2.487960,	-0.013970,	77.447917,	2.500000
1820.864475,	9.346710,	2.280900,	-2.137960,	-0.133970,	45.506250,	1.000000
1762.281167,	9.477693,	2.280900,	-2.137960,	-0.121970,	45.875000,	1.000000
1650.815596,	9.373243,	2.280900,	-2.137960,	-0.109970,	48.191667,	1.000000
1528.337533,	9.298809,	2.280900,	-2.137960,	-0.097970,	50.160417,	1.000000
1398.773032,	9.148032,	2.280900,	-2.137960,	-0.085970,	52.518750,	1.000000
1206.151468,	8.953433,	2.280900,	-2.137960,	-0.073970,	55.429167,	1.000000
952.263567,	8.389979,	2.280900,	-2.137960,	-0.061970,	38.535417,	2.000000
698.003402,	7.553905,	2.280900,	-2.137960,	-0.049970,	46.827083,	2.000000
419.448338,	6.039587,	2.280900,	-2.137960,	-0.037970,	55.193750,	2.000000
163.261498,	3.587269,	2.280900,	-2.137960,	-0.025970,	68.116667,	2.000000
47.572179,	1.719229,	2.280900,	-2.137960,	-0.013970,	75.735417,	2.500000
1670.661030,	8.530692,	2.280900,	-1.787960,	-0.133970,	47.631250,	1.000000
1609.727713,	8.528109,	2.280900,	-1.787960,	-0.121970,	47.668750,	1.000000
