mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
128.655660,	2.585295,	-2.219100,	-2.137960,	-0.085970,	57.510417,	2.000000
103.797824,	2.340715,	-2.219100,	-2.137960,	-0.073970,	60.410417,	2.000000
73.376443,	1.925031,	-2.219100,	-2.137960,	-0.061970,	63.745833,	2.000000
54.411355,	1.707773,	-2.219100,	-2.137960,	-0.049970,	67.235417,	2.000000
34.533171,	1.345004,	-2.219100,	-2.137960,	-0.037970,	72.064583,	2.000000
20.514207,	1.028408,	-2.219100,	-2.137960,	-0.025970,	76.860417,	2.000000
10.023075,	0.647199,	-2.219100,	-2.137960,	-0.013970,	79.562500,	2.500000
319.304515,	3.623639,	-2.219100,	-1.787960,	-0.133970,	48.450000,	2.000000
268.910226,	3.272507,	-2.219100,	-1.787960,	-0.121970,	50.200000,	2.000000
239.123682,	3.248678,	-2.219100,	-1.787960,	-0.109970,	52.606250,	2.000000
189.460472,	2.823662,	-2.219100,	-1.787960,	-0.097970,	54.333333,	2.000000
155.742381,	2.531647,	-2.219100,	-1.787960,	-0.085970,	57.318750,	2.000000
127.178207,	2.323445,	-2.219100,	-1.787960,	-0.073970,	60.108333,	2.000000
92.121425,	1.939900,	-2.219100,	-1.787960,	-0.061970,	63.079167,	2.000000
68.469506,	1.704475,	-2.219100,	-1.787960,	-0.049970,	66.531250,	2.000000
44.575476,	1.382685,	-2.219100,	-1.787960,	-0.037970,	70.877083,	2.000000
24.463304,	0.975947,	-2.219100,	-1.787960,	-0.025970,	76.489583,	2.000000
11.128425,	0.604598,	-2.219100,	-1.787960,	-0.013970,	79.060417,	2.500000
369.063437,	3.403254,	-2.219100,	-1.437960,	-0.133970,	46.577083,	2.000000
338.709289,	3.426442,	-2.219100,	-1.437960,	-0.121970,	49.062500,	2.000000
285.971795,	3.041080,	-2.219100,	-1.437960,	-0.109970,	51.668750,	2.000000
233.598749,	2.818422,	-2.219100,	-1.437960,	-0.097970,	53.445833,	2.000000
193.818305,	2.482123,	-2.219100,	-1.437960,	-0.085970,	55.733333,	2.000000
151.591221,	2.237155,	-2.219100,	-1.437960,	-0.073970,	59.045833,	2.000000
118.953692,	2.044105,	-2.219100,	-1.437960,	-0.061970,	62.677083,	2.000000
91.172251,	1.809550,	-2.219100,	-1.437960,	-0.049970,	66.333333,	2.000000
58.070727,	1.360176,	-2.219100,	-1.437960,	-0.037970,	70.531250,	2.000000
35.041007,	1.085040,	-2.219100,	-1.437960,	-0.025970,	76.027083,	2.000000
16.918818,	0.700100,	-2.219100,	-1.437960,	-0.013970,	78.900000,	2.500000
500.576061,	4.054367,	-2.219100,	-1.087960,	-0.133970,	44.510417,	2.000000
415.061847,	3.426473,	-2.219100,	-1.087960,	-0.121970,	46.039583,	2.000000
353.122160,	2.939055,	-2.219100,	-1.087960,	-0.109970,	48.912500,	2.000000
289.576004,	2.665645,	-2.219100,	-1.087960,	-0.097970,	50.916667,	2.000000
246.110666,	2.481116,	-2.219100,	-1.087960,	-0.085970,	54.566667,	2.000000
198.222046,	2.198132,	-2.219100,	-1.087960,	-0.073970,	57.850000,	2.000000
